SAMPLE	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
10880	Contig05	1	60573	3410	32857	54.2436	7.86542	36.3	17.1
10880	Contig06	1	6618557	1213484	6526727	98.6125	26.9215	36.3	52.4
10880	Contig07	1	51574	1714	20804	40.3382	4.52253	36.4	18
10880	Contig08	1	5731635	1012099	5627699	98.1866	25.9618	36.3	54.4
10880	Contig09	1	4595668	829954	4496320	97.8382	26.5739	36.3	56.3
10880	Contig10	1	1201610	187180	961413	80.0104	22.5023	36.7	42.1
10880	Contig11	1	170974	26033	130922	76.5742	21.859	36.3	16.8
10880	Contig12	1	1464303	250646	1360791	92.931	24.9842	36.3	48.1
10880	Contig13	1	4077659	751781	3992808	97.9191	27.0158	36.2	49.9
10880	Contig14	1	55256	3065	34113	61.7363	8.12518	36.3	22.5
10880	Contig15	1	72685	33500	41914	57.6653	65.9137	35.8	1.69
10880	Contig16	1	77902	6019	16540	21.2318	10.3463	36.1	0.674
10880	Contig17	1	104405	4476	56138	53.7695	6.11781	36.7	11.4
10880	Contig18	1	133460	123245	93599	70.1326	129.899	35.7	2.76
10880	Contig19	1	96136	85084	75873	78.9226	128.567	36.2	1.76
10880	Contig20	1	73650	962	22956	31.169	1.82589	35.9	10.9
10880	Contig21	1	73030	5262	33165	45.4128	10.474	36.5	20.8
10880	Contig22	1	52001	161	4102	7.88831	0.345647	34.2	3.52
10880	Contig23	1	70829	682	18718	26.427	1.16139	35.7	2.45
10880	Contig24	1	75409	1267	17023	22.5742	2.02045	36.4	1.99
117	Contig01	1	11008917	7877990	10055226	91.3371	86.6777	35	55.9
117	Contig02	1	8645043	6000012	7885471	91.2138	84.6866	35	57
117	Contig03	1	1697966	812297	1243665	73.2444	55.587	35.2	46.9
117	Contig04	1	796569	294533	479340	60.1756	39.4856	35.7	32
117	Contig05	1	60573	8085	29009	47.891	12.8515	35.3	10.4
117	Contig06	1	6618557	4841029	6199356	93.6663	89.1164	35	57.1
117	Contig07	1	51574	5922	17650	34.2227	11.9158	35.8	8.88
117	Contig08	1	5731635	4296599	5492595	95.8295	91.6561	35	57.3
117	Contig09	1	4595668	3422382	4409207	95.9427	91.1618	35	58.2
117	Contig10	1	1201610	1109529	919356	76.5103	107.982	35.6	41.3
117	Contig11	1	170974	48398	115064	67.2991	31.0047	35.6	25.2
117	Contig12	1	1464303	1028377	1309343	89.4175	84.7492	35	55.5
117	Contig13	1	4077659	2883956	3737866	91.667	85.6369	35	56.3
117	Contig14	1	55256	16499	42249	76.4605	35.861	35.2	30.7
117	Contig15	1	72685	83874	43346	59.6354	140.993	34.7	0.335
117	Contig16	1	77902	26144	29498	37.8655	39.1333	34.7	0.57
117	Contig17	1	104405	35683	62782	60.1331	39.1262	35.7	9.99
117	Contig18	1	133460	379971	103150	77.2891	332.593	34.1	2.05
117	Contig19	1	96136	258227	84101	87.4813	328.603	34.8	0.348
117	Contig20	1	73650	4031	25827	35.0672	6.14887	35.3	12.5
117	Contig21	1	73030	9053	26263	35.9619	13.9223	35.7	13.2
117	Contig22	1	52001	530	4331	8.32869	0.781331	35.5	6.55
117	Contig23	1	70829	2256	15876	22.4145	2.80121	35.6	7.98
117	Contig24	1	75409	6737	20298	26.9172	7.34435	35.6	11.8
12.0.007i	Contig01	1	11008917	4789344	9945748	90.3427	52.6076	35	55.7
12.0.007i	Contig02	1	8645043	3666446	7822087	90.4806	51.668	34.9	56.8
12.0.007i	Contig03	1	1697966	534527	1213101	71.4444	36.4075	35.2	46.2
12.0.007i	Contig04	1	796569	202539	459489	57.6835	27.0447	35.7	31.7
12.0.007i	Contig05	1	60573	4958	28056	46.3177	8.66442	35.4	7.95
12.0.007i	Contig06	1	6618557	2981332	6172935	93.2671	54.7957	34.9	57
12.0.007i	Contig07	1	51574	3654	16068	31.1552	7.38917	35.7	9.16
12.0.007i	Contig08	1	5731635	2630257	5465922	95.3641	56.0453	34.9	57.2
12.0.007i	Contig09	1	4595668	2090177	4393217	95.5947	55.5884	34.9	58
12.0.007i	Contig10	1	1201610	820576	913043	75.985	79.9209	35.5	41.8
12.0.007i	Contig11	1	170974	30966	112664	65.8954	19.6651	35.6	23.7
12.0.007i	Contig12	1	1464303	639424	1293258	88.319	52.2821	35	55.3
12.0.007i	Contig13	1	4077659	1767008	3706367	90.8945	52.3458	34.9	56.2
12.0.007i	Contig14	1	55256	10538	41772	75.5972	22.8102	35.1	29.9
12.0.007i	Contig15	1	72685	51927	41630	57.2745	87.1345	34.6	0.341
12.0.007i	Contig16	1	77902	15973	23744	30.4793	23.7419	34.6	0.528
12.0.007i	Contig17	1	104405	25532	61438	58.8458	28.3568	35.6	10.2
12.0.007i	Contig18	1	133460	236481	100301	75.1544	206.059	33.9	2.19
12.0.007i	Contig19	1	96136	159482	81818	85.1065	202.654	34.7	0.379
12.0.007i	Contig20	1	73650	2659	24625	33.4352	4.06299	35.2	12.9
12.0.007i	Contig21	1	73030	5608	24922	34.1257	8.46536	35.6	11.7
12.0.007i	Contig22	1	52001	407	3502	6.73449	0.605508	35.9	6.57
12.0.007i	Contig23	1	70829	1464	13008	18.3654	1.83829	35.5	8.03
12.0.007i	Contig24	1	75409	4944	18073	23.9666	5.29889	35.5	11.3
12.0.009i	Contig01	1	11008917	5055495	9953791	90.4157	55.5502	34.8	55.8
12.0.009i	Contig02	1	8645043	3875031	7826817	90.5353	54.6225	34.8	56.9
12.0.009i	Contig03	1	1697966	544612	1213556	71.4712	37.1648	35	46.5
12.0.009i	Contig04	1	796569	197835	461848	57.9797	26.4474	35.5	31.7
12.0.009i	Contig05	1	60573	4766	27837	45.9561	8.28856	35.1	7.71
12.0.009i	Contig06	1	6618557	3147906	6172511	93.2607	57.8645	34.8	57
12.0.009i	Contig07	1	51574	3614	16352	31.7059	7.36367	35.5	8.33
12.0.009i	Contig08	1	5731635	2777825	5468780	95.414	59.1883	34.8	57.3
12.0.009i	Contig09	1	4595668	2221154	4394034	95.6125	59.0606	34.7	58.1
12.0.009i	Contig10	1	1201610	776713	920636	76.6169	75.4439	35.4	41.7
12.0.009i	Contig11	1	170974	30982	113801	66.5604	19.7361	35.4	24
12.0.009i	Contig12	1	1464303	665526	1294790	88.4236	54.431	34.8	55.3
12.0.009i	Contig13	1	4077659	1861164	3705550	90.8744	55.1327	34.8	56.2
12.0.009i	Contig14	1	55256	10825	42317	76.5835	23.3608	34.9	30.5
12.0.009i	Contig15	1	72685	59913	42845	58.9461	100.669	34.5	0.305
12.0.009i	Contig16	1	77902	17788	25969	33.3355	26.6516	34.6	0.593
12.0.009i	Contig17	1	104405	22945	60928	58.3574	25.4458	35.4	10.1
12.0.009i	Contig18	1	133460	273129	101618	76.1412	238.993	33.8	2.17
12.0.009i	Contig19	1	96136	183833	82268	85.5746	233.87	34.5	0.383
12.0.009i	Contig20	1	73650	2698	24182	32.8337	4.15075	34.9	11.9
12.0.009i	Contig21	1	73030	5290	24476	33.515	7.92596	35.4	11.4
12.0.009i	Contig22	1	52001	411	2908	5.5922	0.592123	35.6	8.09
12.0.009i	Contig23	1	70829	1574	14481	20.445	2.0016	35.4	7.11
12.0.009i	Contig24	1	75409	4979	17530	23.2466	5.23297	35.3	11.6
12.0.012i	Contig01	1	11008917	5324278	9968485	90.5492	58.5936	35	55.9
12.0.012i	Contig02	1	8645043	4109604	7844777	90.7431	58.008	35	57
12.0.012i	Contig03	1	1697966	573119	1223911	72.081	39.203	35.2	45.9
12.0.012i	Contig04	1	796569	213003	468407	58.8031	28.6037	35.6	30.9
12.0.012i	Contig05	1	60573	5456	28842	47.6153	9.56651	35.3	8.38
12.0.012i	Contig06	1	6618557	3315381	6183381	93.4249	61.0393	35	57.2
12.0.012i	Contig07	1	51574	3774	17002	32.9662	7.65101	35.6	8.7
12.0.012i	Contig08	1	5731635	2930205	5471241	95.4569	62.5099	35	57.4
12.0.012i	Contig09	1	4595668	2350971	4398134	95.7017	62.588	35	58.2
12.0.012i	Contig10	1	1201610	1069448	925416	77.0147	105.317	35.5	42.1
12.0.012i	Contig11	1	170974	33258	112481	65.7884	21.2438	35.6	23.4
12.0.012i	Contig12	1	1464303	718392	1294693	88.417	58.9046	35	55.6
12.0.012i	Contig13	1	4077659	1950712	3714089	91.0839	57.8784	35	56.3
12.0.012i	Contig14	1	55256	11338	42747	77.3617	24.4904	35.1	30.3
12.0.012i	Contig15	1	72685	61041	43232	59.4786	102.476	34.6	0.295
12.0.012i	Contig16	1	77902	19138	26033	33.4176	28.4745	34.8	0.601
12.0.012i	Contig17	1	104405	33630	61792	59.1849	37.7528	35.6	10.3
12.0.012i	Contig18	1	133460	275212	100826	75.5477	240.967	34	2.09
12.0.012i	Contig19	1	96136	185941	82412	85.7244	236.471	34.7	0.382
12.0.012i	Contig20	1	73650	2673	24546	33.3279	4.0717	35.3	12
12.0.012i	Contig21	1	73030	5746	25135	34.4174	8.65802	35.6	12.2
12.0.012i	Contig22	1	52001	426	3471	6.67487	0.605392	35.8	7.3
12.0.012i	Contig23	1	70829	1623	14164	19.9975	2.05118	35.7	7.52
12.0.012i	Contig24	1	75409	4895	18175	24.1019	5.15344	35.7	11.7
12.0.051i	Contig01	1	11008917	1746019	9846186	89.4383	22.5933	35.9	55.2
12.0.051i	Contig02	1	8645043	1319651	7744612	89.5844	21.9736	35.9	56.5
12.0.051i	Contig03	1	1697966	183710	1146330	67.512	14.6426	36	46
12.0.051i	Contig04	1	796569	67793	423340	53.1454	10.4546	36.1	30.9
12.0.051i	Contig05	1	60573	2127	22293	36.8035	3.61105	36	10.2
12.0.051i	Contig06	1	6618557	1063474	6102530	92.2033	23.0656	35.8	56.5
12.0.051i	Contig07	1	51574	1431	13659	26.4843	3.13421	36	8.03
12.0.051i	Contig08	1	5731635	948013	5421762	94.5936	23.8334	35.8	56.7
12.0.051i	Contig09	1	4595668	758154	4364205	94.9635	23.8507	35.9	57.8
12.0.051i	Contig10	1	1201610	259428	885408	73.6851	29.5068	36.1	41.2
12.0.051i	Contig11	1	170974	11197	102918	60.1951	8.2626	36	24.6
12.0.051i	Contig12	1	1464303	226145	1272092	86.8736	21.8325	35.7	54.7
12.0.051i	Contig13	1	4077659	638045	3654436	89.6209	22.2431	35.8	55.4
12.0.051i	Contig14	1	55256	3461	38674	69.9906	8.83651	35.7	31.3
12.0.051i	Contig15	1	72685	23385	35996	49.5233	45.918	35.7	0.359
12.0.051i	Contig16	1	77902	6612	15413	19.7851	10.0049	35	1.21
12.0.051i	Contig17	1	104405	7960	52807	50.579	10.1649	36.4	10.3
12.0.051i	Contig18	1	133460	114212	90802	68.0369	112.757	34.8	2.81
12.0.051i	Contig19	1	96136	69549	75195	78.2173	102.853	35.7	0.679
12.0.051i	Contig20	1	73650	807	18057	24.5173	1.41973	36	12.2
12.0.051i	Contig21	1	73030	2194	21194	29.021	3.85429	36.2	12.9
12.0.051i	Contig22	1	52001	125	1953	3.7557	0.193304	35.9	5.15
12.0.051i	Contig23	1	70829	538	10016	14.1411	0.713098	35.1	6.7
12.0.051i	Contig24	1	75409	1799	13844	18.3586	1.98993	35.5	10.3
12.0.073	Contig01	1	11008917	1741342	10045957	91.2529	22.4971	35.5	54.8
12.0.073	Contig02	1	8645043	1346026	7927897	91.7045	22.34	35.5	55.4
12.0.073	Contig03	1	1697966	239988	1348621	79.4257	19.4797	35.7	41.5
12.0.073	Contig04	1	796569	115355	542816	68.1443	18.9518	35.7	30.4
12.0.073	Contig05	1	60573	3629	23420	38.6641	7.56491	35.6	11.4
12.0.073	Contig06	1	6618557	1058777	6197924	93.6446	22.8755	35.5	56.1
12.0.073	Contig07	1	51574	1889	15978	30.9807	4.23774	35.5	9.94
12.0.073	Contig08	1	5731635	929374	5477693	95.5695	23.3252	35.5	56.5
12.0.073	Contig09	1	4595668	738391	4405534	95.8628	23.15	35.6	57.7
12.0.073	Contig10	1	1201610	375061	988485	82.2634	43.6728	35.9	40.4
12.0.073	Contig11	1	170974	16034	110299	64.5121	12.0063	35.8	27.4
12.0.073	Contig12	1	1464303	224184	1284807	87.7419	21.2407	35.5	53.8
12.0.073	Contig13	1	4077659	655694	3744584	91.8317	22.7945	35.5	54.9
12.0.073	Contig14	1	55256	3615	39575	71.6212	9.31749	35.3	32.4
12.0.073	Contig15	1	72685	26050	37986	52.2611	51.1939	35.3	0.302
12.0.073	Contig16	1	77902	6709	17661	22.6708	10.2118	34.8	1.2
12.0.073	Contig17	1	104405	9854	58273	55.8144	12.8999	36	11
12.0.073	Contig18	1	133460	119637	92615	69.3953	119.793	34.8	2.71
12.0.073	Contig19	1	96136	75985	76648	79.7287	112.734	35.4	0.764
12.0.073	Contig20	1	73650	1024	22374	30.3788	1.70468	35.5	10.4
12.0.073	Contig21	1	73030	3455	26084	35.7168	6.12116	35.8	10.5
12.0.073	Contig22	1	52001	129	2773	5.33259	0.21863	34.8	6.76
12.0.073	Contig23	1	70829	561	12539	17.7032	0.746149	34.9	6.62
12.0.073	Contig24	1	75409	2136	16314	21.634	2.44842	35.3	9.81
12.0.194	Contig01	1	11008917	1946981	9888607	89.8236	25.1113	35.3	55.2
12.0.194	Contig02	1	8645043	1464283	7773070	89.9136	24.3021	35.3	56.5
12.0.194	Contig03	1	1697966	206303	1166456	68.6973	16.4404	35.5	45.3
12.0.194	Contig04	1	796569	77397	424781	53.3263	11.8873	35.6	29.8
12.0.194	Contig05	1	60573	2055	23791	39.2766	4.10457	35.4	9
12.0.194	Contig06	1	6618557	1182917	6121259	92.4863	25.5751	35.3	56.6
12.0.194	Contig07	1	51574	1518	13829	26.8139	3.45583	35.3	7.66
12.0.194	Contig08	1	5731635	1049970	5428275	94.7073	26.3203	35.2	56.8
12.0.194	Contig09	1	4595668	842689	4383317	95.3793	26.4573	35.3	57.9
12.0.194	Contig10	1	1201610	383538	889304	74.0094	44.1367	35.6	41
12.0.194	Contig11	1	170974	12572	106154	62.0878	9.17289	35.4	24.8
12.0.194	Contig12	1	1464303	255961	1276902	87.202	24.6523	35.1	54.9
12.0.194	Contig13	1	4077659	706151	3651249	89.5428	24.5607	35.2	55.5
12.0.194	Contig14	1	55256	4076	39295	71.1144	10.2201	35.4	30.3
12.0.194	Contig15	1	72685	32158	37290	51.3036	63.264	35.1	0.364
12.0.194	Contig16	1	77902	8078	17310	22.2202	12.3864	34.5	1.28
12.0.194	Contig17	1	104405	13612	58638	56.164	17.9838	35.8	10.9
12.0.194	Contig18	1	133460	152061	94507	70.813	151.959	34.5	2.93
12.0.194	Contig19	1	96136	95354	77120	80.2197	141.685	35.1	0.791
12.0.194	Contig20	1	73650	812	19176	26.0367	1.46984	35.3	12.5
12.0.194	Contig21	1	73030	2377	23037	31.5446	4.15752	35.3	10.6
12.0.194	Contig22	1	52001	144	2838	5.45759	0.206131	34.3	5.38
12.0.194	Contig23	1	70829	616	9972	14.079	0.788561	34.9	7.64
12.0.194	Contig24	1	75409	1969	13262	17.5868	2.17459	34.9	9.2
12.0.321	Contig01	1	11008917	2377607	10066591	91.4403	30.5412	35.1	54.8
12.0.321	Contig02	1	8645043	1818460	8058599	93.2164	29.992	35.1	54.9
12.0.321	Contig03	1	1697966	281165	1276044	75.1513	22.4755	35.3	43
12.0.321	Contig04	1	796569	124827	522618	65.6086	19.9322	35.5	29.6
12.0.321	Contig05	1	60573	4234	24546	40.523	8.27154	35.3	10.5
12.0.321	Contig06	1	6618557	1417046	6210799	93.8392	30.4767	35.1	56
12.0.321	Contig07	1	51574	1501	9885	19.1666	3.25333	35.3	7.02
12.0.321	Contig08	1	5731635	1246447	5488743	95.7623	31.073	35.1	56.3
12.0.321	Contig09	1	4595668	981001	4416082	96.0923	30.6919	35.1	57.6
12.0.321	Contig10	1	1201610	455917	940351	78.2576	52.2997	35.5	39.7
12.0.321	Contig11	1	170974	16307	111391	65.1508	11.9811	35.3	21.5
12.0.321	Contig12	1	1464303	294178	1290674	88.1425	27.763	35.1	53.5
12.0.321	Contig13	1	4077659	855495	3722490	91.2899	29.5167	35	54.7
12.0.321	Contig14	1	55256	4856	39739	71.918	12.2976	34.9	31
12.0.321	Contig15	1	72685	29819	39818	54.7816	58.0986	34.9	0.455
12.0.321	Contig16	1	77902	7891	18658	23.9506	11.1568	33.6	1.5
12.0.321	Contig17	1	104405	8661	51421	49.2515	10.7584	35.6	9.65
12.0.321	Contig18	1	133460	141676	96657	72.4239	137.549	34.1	2.95
12.0.321	Contig19	1	96136	86942	78198	81.341	127.405	34.9	0.958
12.0.321	Contig20	1	73650	1156	23182	31.4759	1.98219	35	9.62
12.0.321	Contig21	1	73030	3939	27803	38.0707	6.83269	35.3	9.65
12.0.321	Contig22	1	52001	183	3681	7.07871	0.273976	34.3	6.05
12.0.321	Contig23	1	70829	806	12394	17.4985	1.10242	34.8	6.05
12.0.321	Contig24	1	75409	2744	16266	21.5704	3.20067	35	9.79
12.0.326	Contig01	1	11008917	5606129	10145717	92.1591	61.8269	35	56.1
12.0.326	Contig02	1	8645043	4451241	8103609	93.7371	62.841	35	56.1
12.0.326	Contig03	1	1697966	626053	1316038	77.5067	43.2964	35.1	44.9
12.0.326	Contig04	1	796569	250455	549209	68.9468	34.8671	35.6	30.3
12.0.326	Contig05	1	60573	8837	28362	46.8228	15.6211	35.2	10.8
12.0.326	Contig06	1	6618557	3428914	6253664	94.4868	63.2243	35	57.2
12.0.326	Contig07	1	51574	4402	19348	37.515	8.90794	35.7	10.4
12.0.326	Contig08	1	5731635	3042827	5513810	96.1996	64.9522	34.9	57.5
12.0.326	Contig09	1	4595668	2434208	4433941	96.4809	64.9892	34.9	58.3
12.0.326	Contig10	1	1201610	1006688	970522	80.7685	99.3233	35.5	40.6
12.0.326	Contig11	1	170974	33743	115968	67.8279	21.7163	35.5	22.9
12.0.326	Contig12	1	1464303	681591	1306640	89.2329	55.6856	35	55
12.0.326	Contig13	1	4077659	2078478	3789385	92.9304	61.7047	35	56.2
12.0.326	Contig14	1	55256	11694	42498	76.9111	25.3772	35	30.5
12.0.326	Contig15	1	72685	60348	42539	58.5251	101.457	34.7	0.322
12.0.326	Contig16	1	77902	18566	25016	32.1121	27.8307	34.8	0.49
12.0.326	Contig17	1	104405	18053	57081	54.6727	19.6748	35.6	10.3
12.0.326	Contig18	1	133460	271018	103470	77.5288	237.054	34	2.08
12.0.326	Contig19	1	96136	184366	82937	86.2705	234.678	34.7	0.366
12.0.326	Contig20	1	73650	3036	26200	35.5737	4.66967	35	11.1
12.0.326	Contig21	1	73030	8441	29350	40.189	13.0425	35.4	10.9
12.0.326	Contig22	1	52001	399	4674	8.98829	0.617354	35.1	6.49
12.0.326	Contig23	1	70829	1634	16896	23.8546	2.09788	35.4	7.48
12.0.326	Contig24	1	75409	5075	20036	26.5698	5.59232	35.7	11.8
12.0.345	Contig01	1	11008917	5645610	10166920	92.3517	62.1263	34.9	55.9
12.0.345	Contig02	1	8645043	4473512	8116819	93.8899	62.9959	34.9	55.9
12.0.345	Contig03	1	1697966	647989	1324985	78.0337	44.5987	35.1	44.1
12.0.345	Contig04	1	796569	269835	548578	68.8676	37.5707	35.5	30.7
12.0.345	Contig05	1	60573	9959	28435	46.9434	16.7524	35.2	12.1
12.0.345	Contig06	1	6618557	3449135	6259677	94.5777	63.4591	34.9	57
12.0.345	Contig07	1	51574	4833	20008	38.7947	9.75476	35.6	10.2
12.0.345	Contig08	1	5731635	3049657	5519025	96.2906	64.9876	34.9	57.4
12.0.345	Contig09	1	4595668	2440431	4438807	96.5868	65.0144	34.9	58.2
12.0.345	Contig10	1	1201610	1103030	991581	82.521	108.831	35.4	41
12.0.345	Contig11	1	170974	35432	118225	69.1479	22.7514	35.5	23.3
12.0.345	Contig12	1	1464303	685109	1314729	89.7853	55.7602	34.9	54.7
12.0.345	Contig13	1	4077659	2092814	3795363	93.077	61.9864	34.9	56
12.0.345	Contig14	1	55256	11479	42883	77.6079	24.882	35.1	30.9
12.0.345	Contig15	1	72685	59166	43157	59.3754	99.3827	34.5	0.333
12.0.345	Contig16	1	77902	18122	26684	34.2533	27.0086	34.6	0.584
12.0.345	Contig17	1	104405	20016	59200	56.7023	21.8401	35.4	10.5
12.0.345	Contig18	1	133460	268423	101394	75.9733	234.068	33.9	2.16
12.0.345	Contig19	1	96136	179287	83650	87.0121	228.02	34.6	0.391
12.0.345	Contig20	1	73650	3095	25899	35.165	4.63598	35.1	11.6
12.0.345	Contig21	1	73030	8726	30001	41.0804	13.439	35.4	10.8
12.0.345	Contig22	1	52001	429	4827	9.28251	0.708467	35.4	6.64
12.0.345	Contig23	1	70829	1733	16651	23.5087	2.19362	35.6	8.69
12.0.345	Contig24	1	75409	5371	19866	26.3443	6.01225	35.5	11.8
12.0.347	Contig01	1	11008917	1704190	10000721	90.842	21.9661	35.4	54.9
12.0.347	Contig02	1	8645043	1329932	8013461	92.6943	22.0042	35.5	55.1
12.0.347	Contig03	1	1697966	206343	1249214	73.5712	16.5258	35.6	42.8
12.0.347	Contig04	1	796569	92552	509639	63.9793	14.8636	35.7	29.5
12.0.347	Contig05	1	60573	3477	23229	38.3488	6.50202	35.7	10.1
12.0.347	Contig06	1	6618557	1035035	6183325	93.4241	22.3346	35.4	56.1
12.0.347	Contig07	1	51574	1630	16408	31.8145	3.68738	35.5	8.39
12.0.347	Contig08	1	5731635	912972	5468503	95.4091	22.8358	35.4	56.5
12.0.347	Contig09	1	4595668	722276	4401321	95.7711	22.662	35.4	57.7
12.0.347	Contig10	1	1201610	354485	929820	77.3812	40.8948	35.8	40.3
12.0.347	Contig11	1	170974	12027	107180	62.6879	8.83479	35.6	21.4
12.0.347	Contig12	1	1464303	212099	1279461	87.3768	20.0633	35.4	53.4
12.0.347	Contig13	1	4077659	636601	3722628	91.2933	22.0368	35.4	54.8
12.0.347	Contig14	1	55256	3588	38482	69.6431	9.05864	35.2	32.1
12.0.347	Contig15	1	72685	18966	37931	52.1855	36.9372	35.2	0.438
12.0.347	Contig16	1	77902	5675	16751	21.5027	8.01222	34.1	1.41
